manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,Unnamed: 29,Unnamed: 30,Unnamed: 31
althaus,,Arduino Micro (Rev3),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMicro,,,,imported_from_fritzing,,,
SparkFun,,Arduino MicroSD Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9802,,,,imported_from_fritzing,,,
SparkFun,,Arduino Midi Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9595,,,,imported_from_fritzing,,,
SparkFun,,Arduino Mini Proto Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9709,,,,imported_from_fritzing,,,
althaus,,Arduino Mini (Rev5),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardMini,,,,imported_from_fritzing,,,
SparkFun,,Arduino Modkit Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10018,,,,imported_from_fritzing,,,
SparkFun,,Arduino Motor Shield,Actuator,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9815,,,,imported_from_fritzing,,,
althaus,,Arduino Motor Shield (Rev3),Actuator,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoMotorShieldR3,,,,imported_from_fritzing,,,
SparkFun,,Arduino MP3 Player Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10628,,,,imported_from_fritzing,,,
SparkFun,,Arduino Musical Instrument Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10587,,,,imported_from_fritzing,,,
Althaus,,Arduino Nano (Rev3.0),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardNano,,,,imported_from_fritzing,,,
